a_code,Period,POP_NEW,BPC_NEW
ALA,90-00,0.918842967,1
AND,90-00,1,0.898491688
ARM,90-00,-1,1
ATG,90-00,1,-0.974743954
BES,90-00,1,0.016638762
BHR,90-00,1,-1
BHS,90-00,0.989804899,-0.116570332
BLZ,90-00,1,0.839457145
BMU,90-00,0,0
BRB,90-00,0.949575088,1
COM,90-00,0,0
CPV,90-00,0,0
CYM,90-00,1,-1
CYP,90-00,1,-0.934254016
DMA,90-00,0.551928917,0.851140192
ESH,90-00,1,-0.921711479
FSM,90-00,0,0
GGY,90-00,0.99296931,0.900407883
GRD,90-00,0.887728879,1
GRL,90-00,-0.94701758,1
GUM,90-00,0,0
HKG,90-00,1,-0.869900164
IRL,90-00,0.980413343,1
ISR,90-00,1,-0.910381998
JAM,90-00,0.990853602,0.83295237
JEY,90-00,1,-0.699240325
KNA,90-00,0.992828845,1
KWT,90-00,-0.985213842,1
LBY,90-00,1,-0.461622218
LCA,90-00,0.990351845,-0.371582202
LIE,90-00,1,1
LSO,90-00,1,1
MDA,90-00,-0.626481556,0.957664667
MKD,90-00,0.362896857,0.996952048
MNE,90-00,0.583840772,0.972012936
MNP,90-00,0,0
MSR,90-00,-1,1
MUS,90-00,0,0
MYT,90-00,0,0
NRU,90-00,0,0
PLW,90-00,0,0
PRI,90-00,0.976357629,0.983097574
PYF,90-00,0,0
QAT,90-00,1,1
SAU,90-00,1,0.851589402
SGP,90-00,1,-1
SJM,90-00,0,0
SMR,90-00,0.956185254,0.883862355
SPM,90-00,-0.572449077,1
SYC,90-00,0,0
TCA,90-00,1,-0.996691971
TKL,90-00,0,0
TKM,90-00,1,0.400200859
TON,90-00,0,0
TTO,90-00,0.664540828,0.893999549
TUV,90-00,0,0
VCT,90-00,0.703131153,1
VGB,90-00,0.993480634,-0.987070409
XAD,90-00,1,-1
XNC,90-00,1,-0.899065442
COD,90-00,0.992436516,-0.233417601
AFG,90-00,0.99998858,-0.397045603
AGO,90-00,0.970578958,-0.719228588
ALB,90-00,0.293607393,1
ARE,90-00,1,-1
ARG,90-00,0.998987954,0.784459383
ASM,90-00,0,0
AUS,90-00,0.999995916,0.297373587
AUT,90-00,0.896622571,0.959289352
AZE,90-00,0.982182303,0.782554317
BDI,90-00,0.99874525,0.474859739
BEN,90-00,1,-0.588457946
BGR,90-00,-0.940454795,1
BLR,90-00,-0.528652075,0.958763783
BOL,90-00,0.998447001,0.96683828
BRA,90-00,0.992789867,0.682228694
ATF,90-00,0,0
UMI,90-00,0,0
BRN,90-00,1,-0.907116002
BTN,90-00,0.866528395,1
BWA,90-00,1,0.973001184
CAF,90-00,0.999135018,0.838349221
CAN,90-00,0.95410979,0.837250907
CHE,90-00,0.980972946,0.824601501
COG,90-00,0.661717139,-0.316952691
COL,90-00,0.97130014,0.146650846
CRI,90-00,1,0.55257772
CUB,90-00,0.869853491,0.938258472
CZE,90-00,-0.000821073,0.9636367
DEU,90-00,0.782818105,0.923714817
DJI,90-00,1,-1
DNK,90-00,0.768397843,0.912448002
DOM,90-00,0.958064342,0.434210611
DZA,90-00,0.961961029,0.540844966
ECU,90-00,0.999989308,0.03832478
EGY,90-00,0.987313739,-0.073110344
ERI,90-00,0.903625868,0.92906578
EST,90-00,0.876379306,-0.850997109
FJI,90-00,0,0
FRO,90-00,0,0
GAB,90-00,0.999986428,-0.600518863
GEO,90-00,-0.900229326,0.974486159
GHA,90-00,0.979263745,0.149566585
GLP,90-00,0.958035971,-0.438340828
GMB,90-00,0.992905734,-0.945960333
GNB,90-00,1,0.228233001
GNQ,90-00,1,-1
GTM,90-00,0.99895472,0.858971835
GUF,90-00,1,-0.997773014
GUY,90-00,0.651339531,0.982177021
HND,90-00,0.998874621,0.839167586
HRV,90-00,-0.828586279,0.978513873
HUN,90-00,0.021388258,0.942500146
IMN,90-00,0.91030661,0.075060967
IRN,90-00,0.977769544,-0.794155466
IRQ,90-00,1,-0.344640798
ISL,90-00,0.980085836,0.069931423
JOR,90-00,1,0.88788771
JPN,90-00,0.614961999,0.941641269
KAZ,90-00,-0.568023492,0.949220692
KEN,90-00,1,0.764638992
KGZ,90-00,1,0.946325558
KHM,90-00,0.999870708,0.67189098
KOR,90-00,0.807885807,0.951586707
LAO,90-00,0.995185813,0.960921325
LBN,90-00,0.876403109,0.125938102
LBR,90-00,1,-0.929523405
LKA,90-00,0.873096062,0.687352627
LTU,90-00,-0.722679765,0.961688196
LUX,90-00,1,0.527337374
LVA,90-00,-1,1
MAC,90-00,1,-0.996686888
MEX,90-00,0.99454393,0.91106848
MLT,90-00,0.939118239,0.927908269
MNG,90-00,0.957734906,-0.771133209
MOZ,90-00,0.999927341,0.423831285
MRT,90-00,0.996325698,-0.930238066
MTQ,90-00,0.960875209,-0.517172832
MWI,90-00,0.988801349,0.992537758
MYS,90-00,0.997472244,-0.267387177
NAM,90-00,0.995727693,-0.705415738
NCL,90-00,0,0
NGA,90-00,0.99999536,0.348377791
NIC,90-00,0.998063295,0.462538508
NLD,90-00,0.967137195,0.980478501
NOR,90-00,0.896461038,0.929450292
NZL,90-00,0.996599168,0.223287236
OMN,90-00,0.993956488,0.668548771
PAN,90-00,0.999813436,0.933142249
PER,90-00,0.989701702,-0.131387838
PHL,90-00,0.989377475,-0.750645735
PNG,90-00,0.999935927,-0.767776029
POL,90-00,0.546935799,0.99410896
PRK,90-00,1,0.38785345
PRT,90-00,0.752631216,0.983973924
PRY,90-00,0.999898387,0.185624343
PSE,90-00,1,-1
REU,90-00,0,0
ROU,90-00,-0.83504847,0.993338072
RUS,90-00,-0.163686488,0.979787312
SHN,90-00,0,0
SLB,90-00,1,0.329296107
SLV,90-00,0.836032763,0.990579131
SOM,90-00,0.99984667,-0.796043365
SRB,90-00,-0.584397757,0.973969578
STP,90-00,0,0
SUR,90-00,0.892588103,-0.743437969
SVK,90-00,0.810800719,0.965129137
SVN,90-00,0.132138345,0.914751355
SWE,90-00,0.619251,0.923358312
SWZ,90-00,0.999726268,0.994079412
SYR,90-00,1,-0.472956341
TGO,90-00,1,-0.106226736
THA,90-00,0.8797095,0.65852032
TJK,90-00,0.997739261,0.360512033
TLS,90-00,0.992965723,-0.926034339
TUN,90-00,0.990500106,-0.25847632
TUR,90-00,0.908174108,0.460934737
TWN,90-00,0.908866017,0.414860115
UKR,90-00,-0.889948042,0.999370336
URY,90-00,0.962538758,0.841898685
USA,90-00,0.94122379,0.83554437
UZB,90-00,0.992999024,0.699566884
VEN,90-00,0.99378455,-0.409513977
VIR,90-00,0.834138325,0.992874106
VNM,90-00,0.979114089,0.812365415
VUT,90-00,0,0
WLF,90-00,0,0
WSM,90-00,0,0
XKO,90-00,0.984982399,0.806700847
YEM,90-00,1,0.418536101
ZMB,90-00,0.999916598,-0.712624858
ZWE,90-00,1,0.97948696
BEL,90-00,0.92327067,0.985763816
BFA,90-00,0.999963605,0.448003148
BGD,90-00,1,-0.880723177
BIH,90-00,-0.912563475,0.995108829
CHL,90-00,0.956819453,0.665212122
CHN,90-00,0.97692668,0.900268687
CIV,90-00,1,-0.618245106
CMR,90-00,0.984685318,0.236754013
ESP,90-00,0.745221041,0.969990136
ETH,90-00,0.99939151,0.914795684
FIN,90-00,0.600172474,0.988200711
FRA,90-00,0.900472276,0.992092013
GBR,90-00,0.856323376,0.741657873
GIN,90-00,0.998965661,-0.517411787
GRC,90-00,1,0.780382776
HTI,90-00,0.827306097,0.372232207
IDN,90-00,0.903276061,0.795450977
IND,90-00,0.998204304,0.755224887
ITA,90-00,0.550614706,0.953784057
MAR,90-00,0.971045856,0.803588616
MDG,90-00,0.999620036,-0.895294435
MLI,90-00,0.997814605,-0.358328074
MMR,90-00,0.982625256,-0.668682858
NER,90-00,0.992874268,0.825677662
NPL,90-00,0.99537845,-0.959300541
PAK,90-00,0.999832502,0.98498131
RWA,90-00,0.810148358,0.675891182
SDN,90-00,0.998496727,0.031290294
SEN,90-00,0.988546642,-0.017704027
SLE,90-00,0.655851533,0.955095738
SSD,90-00,0.992887118,0.814188926
TCD,90-00,0.975244009,-0.493410998
TZA,90-00,0.998996629,-0.370759314
UGA,90-00,0.998040086,0.469217009
ZAF,90-00,0.996693812,0.213306695
