1975-1990,A-POP,negative,-2909.1544134605533
1975-1990,A-POP,positive,104371.34611090222
1975-1990,B-BPC,negative,-43925.582649544944
1975-1990,B-BPC,positive,85626.17792445915
1990-2000,A-POP,negative,-5573.822782137803
1990-2000,A-POP,positive,73273.40723514347
1990-2000,B-BPC,negative,-19164.95125470699
1990-2000,B-BPC,positive,83034.67977999197
2000-2015,A-POP,negative,-14106.822844612592
2000-2015,A-POP,positive,107818.9109684185
2000-2015,B-BPC,negative,-47669.371425805686
2000-2015,B-BPC,positive,86797.40509991921
