,FID,T7590,T9000,T0015
20565,20565,3,3,9
20566,20566,3,3,3
20567,20567,3,3,2
20568,20568,6,3,9
20569,20569,6,6,9
20570,20570,2,3,3
20571,20571,2,2,3
20572,20572,3,2,5
20573,20573,3,2,2
20574,20574,9,6,6
20575,20575,6,6,6
20576,20576,6,3,9
20577,20577,3,3,6
20578,20578,6,6,6
20579,20579,3,3,6
20580,20580,3,3,6
20581,20581,3,3,6
20582,20582,2,3,3
20583,20583,2,2,2
20584,20584,6,6,9
20585,20585,6,3,5
20586,20586,3,3,3
20587,20587,6,6,9
20588,20588,2,3,3
20589,20589,3,3,9
20590,20590,3,3,9
20591,20591,3,3,2
20592,20592,3,2,2
20593,20593,3,3,2
20594,20594,3,3,3
20595,20595,3,3,6
20596,20596,6,3,6
20597,20597,3,3,6
20598,20598,9,6,9
20599,20599,3,3,9
20600,20600,3,2,2
20601,20601,3,3,2
20602,20602,3,3,3
20603,20603,3,2,2
20604,20604,1,3,3
20605,20605,3,6,9
20606,20606,6,9,9
20607,20607,6,6,9
20608,20608,3,3,6
20609,20609,3,3,6
20610,20610,3,3,6
20611,20611,9,9,9
20612,20612,9,5,9
20613,20613,9,9,6
20614,20614,9,6,9
20615,20615,6,6,6
20616,20616,3,2,2
20617,20617,3,3,5
20618,20618,3,3,6
20619,20619,9,6,9
20620,20620,3,2,6
20621,20621,3,2,2
20622,20622,6,6,5
20623,20623,3,3,6
20624,20624,3,6,5
20625,20625,3,3,2
20626,20626,3,3,6
20627,20627,6,6,9
20628,20628,3,3,6
20629,20629,3,3,6
20630,20630,3,3,2
20631,20631,2,2,2
20632,20632,3,6,6
20633,20633,3,3,6
20634,20634,9,6,6
20635,20635,9,6,5
20636,20636,9,3,5
20637,20637,3,3,6
20638,20638,6,6,6
20639,20639,3,3,2
20640,20640,3,6,6
20641,20641,3,6,6
20642,20642,3,3,5
20643,20643,9,9,9
20644,20644,3,6,6
20645,20645,2,2,3
20646,20646,3,3,5
20647,20647,3,6,6
20648,20648,6,6,9
20649,20649,3,3,6
20650,20650,3,3,6
20651,20651,3,3,3
20652,20652,6,6,5
20653,20653,9,6,9
20654,20654,3,6,5
20655,20655,2,2,2
20656,20656,3,3,9
20657,20657,3,6,6
20658,20658,3,3,2
20659,20659,3,3,3
20660,20660,3,3,6
20661,20661,3,6,6
20662,20662,3,6,6
20663,20663,6,3,3
20664,20664,3,6,6
20665,20665,3,6,5
20666,20666,9,9,9
20667,20667,3,3,6
20668,20668,3,3,6
20669,20669,3,3,3
20670,20670,3,3,6
20671,20671,3,3,2
20672,20672,5,5,5
20673,20673,9,6,9
20674,20674,3,2,2
20675,20675,9,6,6
20676,20676,3,6,9
20677,20677,2,2,2
20678,20678,9,6,6
20679,20679,3,3,6
20680,20680,3,6,2
20681,20681,3,3,2
20682,20682,3,3,6
20683,20683,3,3,6
20684,20684,9,6,9
20685,20685,3,6,5
20686,20686,3,6,6
20687,20687,9,3,6
20688,20688,3,2,2
20689,20689,3,3,6
20690,20690,6,6,5
20691,20691,3,3,6
20692,20692,6,6,6
20693,20693,6,2,1
20694,20694,3,3,3
20695,20695,3,3,6
20696,20696,6,2,2
20697,20697,3,6,9
20698,20698,3,3,3
20699,20699,3,3,5
20700,20700,3,3,6
20701,20701,3,6,5
20702,20702,3,3,2
20703,20703,3,3,6
20704,20704,6,3,9
20705,20705,3,2,2
20706,20706,2,2,2
20707,20707,3,3,3
20708,20708,6,3,6
20709,20709,3,6,9
20710,20710,3,3,5
20711,20711,6,6,5
20712,20712,3,3,6
20713,20713,6,6,6
20714,20714,3,6,6
20715,20715,2,3,2
20716,20716,3,3,6
20717,20717,3,2,5
20718,20718,9,9,9
20719,20719,3,3,2
20720,20720,6,6,5
20721,20721,3,3,6
20722,20722,9,3,5
20723,20723,3,3,2
20724,20724,3,6,9
20725,20725,3,6,6
20726,20726,3,2,5
20727,20727,6,6,6
20728,20728,3,3,5
20729,20729,3,3,3
20730,20730,3,3,5
20731,20731,9,9,9
20732,20732,3,3,6
20733,20733,9,9,9
20734,20734,3,3,6
20735,20735,9,3,6
20736,20736,6,3,3
20737,20737,9,3,9
20738,20738,6,3,3
20739,20739,3,3,2
20740,20740,6,3,2
20741,20741,5,5,5
20742,20742,2,3,2
20743,20743,3,3,3
20744,20744,3,3,1
20745,20745,2,2,2
20746,20746,9,3,3
20747,20747,5,2,5
20748,20748,3,3,3
20749,20749,3,3,3
20750,20750,3,3,3
20751,20751,3,3,3
20752,20752,6,3,3
20753,20753,3,3,3
20754,20754,3,3,1
20755,20755,3,3,3
20756,20756,9,6,6
20757,20757,3,1,3
20758,20758,9,3,6
20759,20759,6,5,5
20760,20760,3,3,3
20761,20761,6,3,3
20762,20762,3,1,2
20763,20763,6,3,3
20764,20764,9,3,3
20765,20765,9,3,3
20766,20766,9,3,3
20767,20767,3,3,6
20768,20768,9,3,3
20769,20769,9,3,3
20770,20770,6,3,3
20771,20771,9,3,3
20772,20772,6,3,2
20773,20773,5,2,2
20774,20774,3,3,3
20775,20775,6,3,3
20776,20776,3,3,6
20777,20777,1,1,2
20778,20778,3,3,2
20779,20779,3,2,2
20780,20780,3,3,3
20781,20781,5,2,5
20782,20782,3,3,3
20783,20783,6,3,3
20784,20784,9,3,9
20785,20785,6,3,2
20786,20786,2,3,3
20787,20787,3,3,3
20788,20788,9,3,6
20789,20789,3,3,3
20790,20790,3,1,3
20791,20791,3,3,3
20792,20792,3,1,3
20793,20793,6,3,3
20794,20794,3,3,6
20795,20795,3,2,2
20796,20796,3,3,3
20797,20797,3,3,3
20798,20798,3,3,3
20799,20799,3,3,3
20800,20800,6,3,3
20801,20801,9,3,3
20802,20802,3,3,3
20803,20803,3,3,3
20804,20804,6,2,2
20805,20805,3,3,9
20806,20806,2,3,3
20807,20807,3,2,3
20808,20808,1,1,3
20809,20809,9,6,5
20810,20810,9,3,3
20811,20811,9,3,5
20812,20812,3,3,2
20813,20813,6,2,3
20814,20814,9,3,3
20815,20815,6,2,2
20816,20816,3,1,3
20817,20817,1,2,3
20818,20818,3,3,3
20819,20819,3,3,1
20820,20820,9,3,3
20821,20821,6,3,6
20822,20822,3,3,3
20823,20823,3,1,3
20824,20824,3,3,3
20825,20825,3,3,3
20826,20826,6,3,3
20827,20827,3,3,3
20828,20828,3,3,3
20829,20829,3,2,2
20830,20830,3,3,3
20831,20831,3,2,1
20832,20832,3,3,6
20833,20833,3,3,2
20834,20834,3,2,1
20835,20835,9,3,3
20836,20836,3,3,6
20837,20837,3,3,3
20838,20838,3,3,3
20839,20839,1,3,3
20840,20840,6,3,2
20841,20841,9,3,3
20842,20842,9,3,3
20843,20843,9,3,9
20844,20844,6,3,3
20845,20845,6,3,3
20846,20846,3,3,3
20847,20847,9,3,6
20848,20848,3,1,3
20849,20849,3,3,3
20850,20850,3,3,6
20851,20851,3,3,2
20852,20852,6,3,6
20853,20853,2,2,2
20854,20854,3,6,9
20855,20855,6,6,9
20856,20856,3,6,6
20857,20857,6,6,6
20858,20858,3,3,6
20859,20859,6,3,2
20860,20860,3,6,6
20861,20861,3,2,2
20862,20862,3,6,3
20863,20863,3,3,5
20864,20864,3,3,6
20865,20865,2,1,2
20866,20866,3,3,3
20867,20867,3,6,6
20868,20868,2,2,2
20869,20869,9,6,9
20870,20870,9,3,3
20871,20871,3,6,5
20872,20872,6,3,9
20873,20873,3,3,9
20874,20874,2,2,1
20875,20875,3,2,2
20876,20876,2,2,1
20877,20877,3,3,5
20878,20878,3,3,2
20879,20879,3,3,3
20880,20880,2,2,2
20881,20881,3,3,2
20882,20882,3,3,9
20883,20883,3,3,6
20884,20884,2,2,2
20885,20885,3,6,6
20886,20886,9,6,9
20887,20887,3,6,6
20888,20888,3,3,5
20889,20889,3,2,2
20890,20890,3,3,6
20891,20891,3,3,5
20892,20892,3,3,3
20893,20893,3,2,5
20894,20894,3,3,2
20895,20895,3,2,2
20896,20896,3,3,2
20897,20897,9,6,9
20898,20898,3,3,3
20899,20899,3,3,3
20900,20900,3,6,5
20901,20901,3,3,5
20902,20902,2,3,2
20903,20903,3,3,6
20904,20904,3,6,6
20905,20905,3,3,3
20906,20906,3,3,3
20907,20907,3,3,2
20908,20908,6,3,2
20909,20909,3,6,6
20910,20910,6,3,6
20911,20911,9,6,9
20912,20912,9,9,9
20913,20913,3,3,6
20914,20914,6,3,6
20915,20915,3,3,6
20916,20916,9,3,5
20917,20917,2,2,2
20918,20918,3,3,6
20919,20919,3,3,6
20920,20920,9,3,6
20921,20921,2,3,5
20922,20922,3,9,9
20923,20923,3,3,6
20924,20924,6,6,6
20925,20925,3,3,3
20926,20926,3,6,5
20927,20927,3,2,2
20928,20928,9,6,6
20929,20929,3,3,6
20930,20930,3,3,3
20931,20931,3,6,6
20932,20932,3,3,2
20933,20933,3,6,9
20934,20934,3,2,2
20935,20935,3,3,5
20936,20936,3,3,3
20937,20937,9,6,6
20938,20938,3,3,6
20939,20939,3,6,9
20940,20940,3,3,2
20941,20941,6,3,3
20942,20942,3,3,5
20943,20943,3,1,3
20944,20944,2,3,3
20945,20945,3,6,9
20946,20946,3,3,6
20947,20947,3,6,6
20948,20948,3,3,5
20949,20949,3,3,6
20950,20950,9,3,9
20951,20951,3,3,2
20952,20952,3,3,6
20953,20953,3,3,6
20954,20954,3,6,6
20955,20955,6,6,2
20956,20956,3,3,3
20957,20957,3,2,2
20958,20958,6,6,6
20959,20959,2,2,1
20960,20960,3,2,2
20961,20961,3,3,3
20962,20962,6,3,3
20963,20963,9,3,3
20964,20964,3,1,3
20965,20965,3,3,3
20966,20966,6,3,2
20967,20967,3,3,3
20968,20968,6,3,2
20969,20969,6,3,3
20970,20970,3,3,3
20971,20971,6,3,3
20972,20972,3,3,3
20973,20973,6,3,3
20974,20974,3,3,3
20975,20975,9,6,3
20976,20976,6,3,3
20977,20977,9,3,3
20978,20978,3,9,3
20979,20979,3,3,3
20980,20980,6,3,3
20981,20981,6,6,2
20982,20982,3,3,3
20983,20983,3,3,3
20984,20984,3,3,3
20985,20985,6,3,2
20986,20986,3,3,3
20987,20987,3,3,3
20988,20988,9,3,3
20989,20989,3,3,2
20990,20990,3,3,3
20991,20991,6,3,3
20992,20992,6,3,3
20993,20993,6,3,3
20994,20994,3,3,3
20995,20995,3,3,2
20996,20996,9,3,5
20997,20997,9,9,9
20998,20998,9,3,6
20999,20999,6,3,6
21000,21000,6,6,9
21001,21001,3,3,5
21002,21002,3,3,5
21003,21003,9,6,9
21004,21004,9,6,6
21005,21005,6,3,9
21006,21006,9,6,9
21007,21007,3,3,6
21008,21008,3,3,6
21009,21009,3,3,5
21010,21010,9,6,9
21011,21011,3,3,3
21012,21012,3,3,3
21013,21013,3,3,6
21014,21014,3,3,6
21015,21015,6,3,3
21016,21016,3,3,3
21017,21017,2,2,2
21018,21018,3,2,2
21019,21019,9,9,9
21020,21020,3,3,2
21021,21021,3,2,2
21022,21022,3,3,6
21023,21023,3,3,2
21024,21024,6,6,6
21025,21025,3,2,2
21026,21026,6,3,9
21027,21027,2,2,2
21028,21028,3,2,2
21029,21029,1,1,1
21030,21030,2,3,3
21031,21031,6,6,6
21032,21032,3,2,2
21033,21033,6,3,5
21034,21034,6,3,6
21035,21035,3,6,2
21036,21036,9,6,6
21037,21037,3,6,6
21038,21038,3,6,3
21039,21039,3,6,3
21040,21040,1,1,1
21041,21041,3,6,5
21042,21042,1,1,1
21043,21043,6,2,2
21044,21044,1,1,1
21045,21045,3,2,2
21046,21046,3,2,2
21047,21047,3,6,3
21048,21048,2,2,2
21049,21049,3,3,5
21050,21050,3,6,6
21051,21051,6,3,3
21052,21052,3,3,2
21053,21053,6,3,6
21054,21054,9,3,3
21055,21055,6,3,6
21056,21056,6,5,5
21057,21057,3,3,2
21058,21058,6,3,2
21059,21059,3,3,2
21060,21060,9,3,9
21061,21061,6,2,2
21062,21062,3,3,2
21063,21063,9,3,6
21064,21064,9,3,6
21065,21065,6,6,9
21066,21066,9,6,9
21067,21067,9,9,9
21068,21068,3,3,6
21069,21069,3,3,3
21070,21070,6,3,5
21071,21071,6,3,5
21072,21072,3,3,2
21073,21073,3,3,6
21074,21074,3,3,6
21075,21075,3,3,6
21076,21076,6,3,6
21077,21077,9,3,9
21078,21078,6,3,3
21079,21079,3,3,3
21080,21080,2,3,2
21081,21081,3,3,3
21082,21082,6,3,6
21083,21083,3,2,2
21084,21084,3,2,2
21085,21085,6,3,9
21086,21086,2,2,3
21087,21087,3,3,5
21088,21088,3,3,6
21089,21089,6,3,6
21090,21090,3,2,2
21091,21091,3,3,5
21092,21092,3,3,9
21093,21093,6,3,6
21094,21094,3,3,5
21095,21095,3,3,6
21096,21096,3,3,6
21097,21097,2,2,2
21098,21098,9,3,9
21099,21099,3,3,6
21100,21100,3,3,6
21101,21101,3,2,5
21102,21102,6,3,6
21103,21103,3,3,3
21104,21104,3,3,6
21105,21105,1,1,1
21106,21106,6,3,5
21107,21107,1,3,5
21108,21108,2,3,6
21109,21109,3,3,2
21110,21110,3,3,2
21111,21111,6,6,6
21112,21112,3,3,2
21113,21113,1,1,1
21114,21114,6,2,5
21115,21115,6,3,5
21116,21116,3,3,6
21117,21117,1,2,2
21118,21118,6,1,3
21119,21119,9,6,5
21120,21120,3,3,3
21121,21121,3,3,2
21122,21122,3,3,2
21123,21123,6,3,3
21124,21124,1,3,2
21125,21125,3,3,6
21126,21126,6,3,9
21127,21127,6,6,9
21128,21128,6,3,6
21129,21129,2,2,2
21130,21130,3,3,2
21131,21131,6,3,3
21132,21132,3,3,9
21133,21133,6,3,3
21134,21134,3,3,3
21135,21135,6,3,6
21136,21136,6,9,9
21137,21137,2,2,6
21138,21138,3,3,3
21139,21139,6,3,5
21140,21140,6,6,6
21141,21141,6,3,2
21142,21142,3,2,2
21143,21143,3,3,5
21144,21144,9,3,3
21145,21145,6,3,6
21146,21146,6,3,2
21147,21147,3,3,2
21148,21148,9,3,5
21149,21149,9,6,9
21150,21150,3,1,3
21151,21151,3,3,6
21152,21152,3,3,6
21153,21153,9,3,6
21154,21154,3,3,6
21155,21155,3,3,6
21156,21156,6,3,2
21157,21157,3,3,6
21158,21158,9,3,5
21159,21159,2,3,2
21160,21160,3,3,6
21161,21161,9,6,6
21162,21162,3,3,6
21163,21163,3,3,5
21164,21164,6,2,2
21165,21165,6,3,6
21166,21166,3,3,6
21167,21167,6,2,2
21168,21168,2,2,2
21169,21169,3,2,2
21170,21170,3,3,3
21171,21171,3,2,2
21172,21172,3,3,5
21173,21173,3,3,6
21174,21174,3,3,2
21175,21175,9,3,3
21176,21176,3,2,2
21177,21177,2,3,5
21178,21178,6,2,2
21179,21179,3,2,2
21180,21180,3,3,2
21181,21181,3,3,6
21182,21182,2,2,2
21183,21183,3,3,3
21184,21184,6,6,6
21185,21185,3,3,6
21186,21186,3,3,6
21187,21187,3,3,2
21188,21188,3,3,2
21189,21189,3,3,2
21190,21190,3,3,3
21191,21191,1,3,5
21192,21192,3,3,2
21193,21193,3,3,6
21194,21194,6,3,5
21195,21195,6,3,3
21196,21196,3,3,6
21197,21197,6,3,2
21198,21198,3,3,3
21199,21199,3,3,6
21200,21200,3,2,2
21201,21201,6,3,5
21202,21202,3,3,5
21203,21203,2,2,5
21204,21204,3,2,3
21205,21205,3,3,2
21206,21206,2,2,1
21207,21207,3,3,2
21208,21208,3,2,5
21209,21209,3,3,6
21210,21210,3,3,3
21211,21211,3,2,2
21212,21212,3,3,6
21213,21213,3,3,6
21214,21214,9,3,3
21215,21215,3,3,3
21216,21216,3,3,5
21217,21217,2,2,2
21218,21218,6,3,6
21219,21219,3,3,2
21220,21220,3,3,3
21221,21221,3,3,5
21222,21222,1,3,3
21223,21223,3,2,2
21224,21224,9,2,6
21225,21225,1,3,3
21226,21226,9,3,6
21227,21227,1,3,2
21228,21228,3,3,3
21229,21229,3,2,2
21230,21230,3,1,9
21231,21231,3,3,3
21232,21232,3,3,5
21233,21233,6,3,5
21234,21234,3,3,3
21235,21235,1,3,3
21236,21236,6,3,5
21237,21237,3,3,3
21238,21238,3,1,3
21239,21239,3,3,3
21240,21240,6,3,2
21241,21241,3,3,9
21242,21242,3,3,3
21243,21243,6,3,6
21244,21244,3,3,5
21245,21245,2,2,2
21246,21246,9,6,5
21247,21247,3,3,3
21248,21248,9,3,6
21249,21249,3,2,1
21250,21250,3,3,2
21251,21251,5,5,5
21252,21252,3,1,3
21253,21253,6,6,6
21254,21254,3,3,3
21255,21255,2,3,3
21256,21256,3,3,2
21257,21257,1,3,3
21258,21258,3,3,6
21259,21259,3,3,6
21260,21260,6,3,6
21261,21261,6,3,3
21262,21262,5,2,2
21263,21263,3,3,5
21264,21264,3,3,3
21265,21265,6,3,2
21266,21266,3,2,2
21267,21267,3,3,6
21268,21268,3,1,1
21269,21269,3,2,6
21270,21270,2,3,2
21271,21271,2,3,2
21272,21272,6,2,5
21273,21273,3,3,6
21274,21274,3,1,1
21275,21275,3,3,6
21276,21276,3,2,1
21277,21277,3,2,2
21278,21278,3,2,5
21279,21279,3,3,5
21280,21280,3,3,5
21281,21281,6,3,5
21282,21282,3,3,2
21283,21283,6,3,6
21284,21284,3,2,3
21285,21285,3,3,5
21286,21286,3,1,5
21287,21287,3,3,6
21288,21288,3,2,2
21289,21289,3,3,3
21290,21290,3,2,5
21291,21291,3,2,5
21292,21292,9,3,2
21293,21293,3,3,2
21294,21294,3,3,5
21295,21295,2,2,2
21296,21296,9,6,5
21297,21297,1,3,2
21298,21298,3,3,6
21299,21299,6,3,5
21300,21300,6,3,9
21301,21301,3,2,2
21302,21302,3,3,3
21303,21303,3,2,3
21304,21304,3,3,2
21305,21305,3,3,6
21306,21306,6,2,3
21307,21307,6,3,9
21308,21308,3,3,3
21309,21309,2,3,2
21310,21310,3,3,3
21311,21311,3,3,2
21312,21312,6,3,6
21313,21313,9,3,6
21314,21314,6,3,6
21315,21315,6,3,6
21316,21316,3,3,6
21317,21317,6,3,9
21318,21318,6,3,9
21319,21319,3,3,6
21320,21320,3,3,2
21321,21321,6,3,6
21322,21322,3,3,6
21323,21323,9,3,9
21324,21324,9,3,9
21325,21325,6,3,6
21326,21326,3,3,3
21327,21327,3,3,9
21328,21328,9,9,6
21329,21329,6,9,9
21330,21330,6,6,9
21331,21331,9,9,6
21332,21332,9,6,9
21333,21333,3,9,6
21334,21334,6,6,9
21335,21335,3,9,6
21336,21336,3,3,2
21337,21337,3,3,3
21338,21338,6,3,2
21339,21339,3,3,3
21340,21340,3,3,2
21341,21341,3,6,6
21342,21342,3,3,2
21343,21343,3,3,6
21344,21344,3,3,2
21345,21345,3,3,2
21346,21346,3,3,2
21347,21347,3,2,2
21348,21348,9,3,6
21349,21349,3,3,3
21350,21350,6,3,2
21351,21351,3,3,6
21352,21352,3,3,3
21353,21353,6,3,6
21354,21354,2,2,2
21355,21355,3,2,2
21356,21356,6,6,6
21357,21357,3,3,2
21358,21358,3,2,2
21359,21359,3,2,2
21360,21360,3,3,6
21361,21361,3,3,3
21362,21362,3,3,6
21363,21363,9,3,5
21364,21364,6,6,9
21365,21365,3,3,6
21366,21366,3,3,2
21367,21367,2,2,2
21368,21368,3,2,2
21369,21369,3,2,2
21370,21370,3,3,6
21371,21371,2,3,2
21372,21372,3,3,2
21373,21373,6,3,5
21374,21374,3,2,2
21375,21375,3,3,3
21376,21376,3,3,2
21377,21377,6,3,6
21378,21378,3,3,3
21379,21379,3,2,2
21380,21380,6,3,3
21381,21381,6,3,6
21382,21382,6,3,6
21383,21383,3,6,3
21384,21384,3,3,3
21385,21385,3,3,2
21386,21386,3,3,2
21387,21387,3,3,3
21388,21388,6,3,5
21389,21389,6,3,5
21390,21390,9,3,6
21391,21391,3,3,2
21392,21392,9,6,6
21393,21393,6,3,2
21394,21394,2,2,1
21395,21395,9,6,6
21396,21396,6,6,5
21397,21397,9,3,6
21398,21398,6,2,5
21399,21399,6,3,5
21400,21400,5,2,1
21401,21401,6,3,5
21402,21402,6,3,5
21403,21403,5,2,2
21404,21404,3,3,3
21405,21405,6,3,2
21406,21406,6,3,2
21407,21407,6,3,5
21408,21408,9,6,6
21409,21409,9,6,5
21410,21410,6,3,6
21411,21411,9,6,9
21412,21412,6,3,6
21413,21413,3,6,9
21414,21414,3,3,5
21415,21415,3,6,9
21416,21416,3,2,2
21417,21417,3,6,9
21418,21418,9,3,6
21419,21419,3,2,2
21420,21420,3,9,6
21421,21421,3,3,6
21422,21422,3,6,9
21423,21423,3,6,6
21424,21424,3,6,9
21425,21425,6,3,2
21426,21426,9,3,6
21427,21427,6,3,6
21428,21428,3,3,6
21429,21429,6,6,6
21430,21430,9,3,6
21431,21431,3,6,6
21432,21432,6,3,2
21433,21433,3,3,6
21434,21434,9,6,5
21435,21435,6,3,6
21436,21436,3,3,6
21437,21437,2,2,1
21438,21438,3,9,9
21439,21439,5,2,2
21440,21440,1,3,6
21441,21441,3,3,3
21442,21442,3,6,3
21443,21443,3,3,9
21444,21444,3,6,5
21445,21445,9,3,6
21446,21446,3,3,6
21447,21447,3,2,2
21448,21448,6,6,6
21449,21449,3,3,6
21450,21450,3,6,2
21451,21451,9,9,9
21452,21452,9,3,3
21453,21453,3,2,5
21454,21454,9,3,2
21455,21455,3,2,2
21456,21456,3,5,2
21457,21457,9,3,6
21458,21458,3,6,9
21459,21459,3,3,6
21460,21460,9,3,9
21461,21461,3,3,9
21462,21462,3,6,9
21463,21463,3,3,2
21464,21464,1,1,1
21465,21465,6,6,6
21466,21466,3,3,5
21467,21467,3,2,2
21468,21468,3,6,9
21469,21469,3,3,2
21470,21470,2,2,2
21471,21471,6,3,6
21472,21472,3,6,9
21473,21473,2,1,1
21474,21474,2,2,2
21475,21475,3,1,3
21476,21476,3,2,5
21477,21477,3,6,6
21478,21478,3,3,6
21479,21479,3,3,6
21480,21480,9,3,9
21481,21481,3,3,2
21482,21482,3,3,6
21483,21483,9,9,9
21484,21484,6,3,6
21485,21485,3,3,6
21486,21486,3,3,6
21487,21487,3,3,5
21488,21488,6,6,9
21489,21489,6,3,6
21490,21490,9,6,9
21491,21491,6,3,6
21492,21492,3,3,6
21493,21493,3,3,6
21494,21494,3,3,6
21495,21495,3,2,5
21496,21496,1,1,1
21497,21497,3,3,5
21498,21498,3,3,2
21499,21499,6,3,5
21500,21500,6,3,3
21501,21501,3,6,9
21502,21502,3,3,5
21503,21503,6,2,2
21504,21504,6,3,3
21505,21505,3,2,5
21506,21506,3,3,3
21507,21507,3,2,2
21508,21508,3,3,3
21509,21509,9,3,5
21510,21510,2,2,1
21511,21511,1,1,1
21512,21512,3,6,6
21513,21513,3,3,2
21514,21514,6,3,6
21515,21515,3,3,3
21516,21516,6,3,2
21517,21517,6,6,6
21518,21518,6,3,6
21519,21519,3,2,3
21520,21520,3,6,6
21521,21521,3,6,6
21522,21522,3,2,2
21523,21523,2,2,2
21524,21524,2,2,1
21525,21525,3,3,6
21526,21526,6,5,5
21527,21527,6,3,3
21528,21528,3,3,5
21529,21529,3,2,5
21530,21530,6,3,6
21531,21531,5,2,2
21532,21532,6,3,2
21533,21533,3,2,2
21534,21534,3,3,2
21535,21535,1,1,1
21536,21536,3,3,2
21537,21537,6,5,5
21538,21538,9,3,6
21539,21539,6,2,2
21540,21540,3,3,3
21541,21541,6,3,2
21542,21542,9,3,6
21543,21543,6,3,3
21544,21544,6,3,6
21545,21545,3,3,6
21546,21546,3,3,6
21547,21547,3,3,6
21548,21548,6,3,2
21549,21549,6,6,6
21550,21550,6,6,6
21551,21551,5,3,3
21552,21552,3,3,3
21553,21553,3,3,6
21554,21554,6,3,2
21555,21555,2,1,3
21556,21556,6,3,6
21557,21557,3,6,6
21558,21558,6,3,3
21559,21559,3,3,2
21560,21560,3,3,6
21561,21561,3,3,5
21562,21562,6,6,6
21563,21563,3,3,6
21564,21564,3,2,6
21565,21565,6,6,9
21566,21566,3,3,6
21567,21567,3,3,6
21568,21568,6,3,6
21569,21569,6,3,6
21570,21570,3,3,3
21571,21571,3,6,6
21572,21572,6,3,6
21573,21573,6,3,2
21574,21574,3,3,3
21575,21575,3,3,3
21576,21576,6,3,3
21577,21577,6,3,3
21578,21578,9,9,9
21579,21579,3,3,6
21580,21580,6,9,9
21581,21581,3,3,3
21582,21582,3,9,6
21583,21583,6,3,6
21584,21584,9,6,6
21585,21585,3,3,6
21586,21586,2,3,9
21587,21587,3,3,3
21588,21588,3,3,6
21589,21589,6,6,5
21590,21590,2,3,5
21591,21591,6,3,9
21592,21592,6,6,6
21593,21593,6,3,5
21594,21594,6,6,5
21595,21595,3,2,5
21596,21596,6,3,5
21597,21597,9,1,5
21598,21598,3,2,5
21599,21599,9,5,5
21600,21600,3,3,5
21601,21601,6,2,2
21602,21602,3,3,5
21603,21603,3,3,5
21604,21604,3,3,2
21605,21605,3,2,5
21606,21606,3,3,6
21607,21607,3,3,5
21608,21608,6,6,5
21609,21609,3,2,2
21610,21610,3,3,6
21611,21611,3,3,6
21612,21612,3,2,5
21613,21613,3,3,6
21614,21614,3,3,6
21615,21615,3,3,6
21616,21616,6,2,2
21617,21617,3,3,6
21618,21618,3,3,6
21619,21619,3,3,6
21620,21620,3,3,5
21621,21621,6,3,5
21622,21622,3,3,5
21623,21623,3,2,6
21624,21624,9,6,6
21625,21625,3,3,6
21626,21626,6,6,5
21627,21627,5,1,2
21628,21628,6,5,5
21629,21629,3,3,5
21630,21630,3,3,6
21631,21631,3,3,5
21632,21632,3,3,9
21633,21633,5,2,2
21634,21634,3,3,6
21635,21635,3,3,3
21636,21636,3,2,2
21637,21637,6,3,9
21638,21638,3,2,2
21639,21639,1,2,3
21640,21640,2,2,5
21641,21641,6,2,2
21642,21642,3,2,2
21643,21643,2,2,2
21644,21644,6,3,2
21645,21645,3,2,3
21646,21646,6,3,5
21647,21647,9,3,6
21648,21648,3,3,5
21649,21649,6,3,5
21650,21650,1,3,3
21651,21651,6,3,2
21652,21652,9,6,5
21653,21653,9,6,3
21654,21654,2,3,2
21655,21655,9,6,6
21656,21656,6,2,2
21657,21657,2,3,6
21658,21658,6,3,6
21659,21659,3,1,1
21660,21660,3,3,9
21661,21661,6,9,1
21662,21662,3,3,6
21663,21663,6,3,6
21664,21664,3,3,6
21665,21665,3,3,3
21666,21666,9,3,6
21667,21667,5,2,1
21668,21668,3,1,6
21669,21669,3,2,5
21670,21670,3,3,6
21671,21671,9,6,9
21672,21672,3,2,2
21673,21673,3,3,6
21674,21674,3,3,5
21675,21675,3,3,3
21676,21676,6,3,6
21677,21677,3,1,3
21678,21678,6,6,5
21679,21679,6,3,5
21680,21680,3,3,6
21681,21681,3,3,2
21682,21682,6,3,6
21683,21683,3,2,6
21684,21684,9,6,5
21685,21685,9,6,6
21686,21686,2,3,2
21687,21687,9,6,3
21688,21688,6,6,6
21689,21689,3,3,3
21690,21690,3,3,9
21691,21691,6,5,5
21692,21692,6,2,5
21693,21693,3,6,6
21694,21694,6,6,5
21695,21695,3,3,6
21696,21696,2,2,3
21697,21697,3,3,3
21698,21698,3,3,2
21699,21699,2,3,6
21700,21700,6,3,6
21701,21701,3,2,3
21702,21702,9,6,5
21703,21703,2,3,2
21704,21704,5,5,2
21705,21705,3,3,6
21706,21706,3,3,6
21707,21707,1,3,3
21708,21708,3,2,3
21709,21709,3,3,5
21710,21710,3,2,5
21711,21711,3,3,5
21712,21712,3,2,5
21713,21713,3,2,2
21714,21714,3,2,2
21715,21715,6,2,5
21716,21716,2,2,2
21717,21717,2,2,2
21718,21718,2,2,2
21719,21719,3,3,6
21720,21720,6,3,6
21721,21721,6,6,5
21722,21722,3,3,6
21723,21723,3,2,2
21724,21724,1,2,5
21725,21725,3,2,2
21726,21726,6,3,6
21727,21727,9,6,6
21728,21728,9,6,6
21729,21729,3,3,6
