,FID,T7590,T9000,T0015
318,318,3,3,6
319,319,3,6,6
320,320,3,3,6
321,321,6,6,6
322,322,6,9,6
323,323,6,9,6
324,324,9,6,6
325,325,6,6,6
326,326,6,6,6
327,327,6,6,5
328,328,9,9,9
329,329,9,6,9
330,330,6,5,5
331,331,6,3,5
332,332,5,5,5
333,333,9,9,9
334,334,2,2,2
335,335,6,6,5
336,336,9,6,9
337,337,5,6,5
338,338,6,3,5
339,339,6,6,5
340,340,5,3,5
341,341,6,3,2
342,342,6,3,6
343,343,1,3,2
344,344,6,3,6
345,345,6,6,5
346,346,3,3,2
347,347,6,6,6
348,348,3,3,6
349,349,3,3,2
350,350,3,3,2
351,351,3,3,2
352,352,3,2,2
353,353,3,3,6
354,354,3,2,2
355,355,3,3,3
356,356,3,3,5
357,357,3,3,2
358,358,6,5,5
359,359,6,2,5
360,360,3,5,5
361,361,2,1,1
362,362,1,1,1
363,363,3,5,5
364,364,6,5,5
365,365,2,2,5
366,366,3,5,5
367,367,6,5,6
368,368,2,1,1
369,369,2,1,1
370,370,3,5,5
371,371,6,5,5
372,372,6,6,6
373,373,3,2,5
374,374,2,1,1
375,375,2,1,1
376,376,2,2,5
377,377,2,2,5
378,378,2,2,2
379,379,3,5,5
380,380,1,1,1
381,381,2,5,5
382,382,3,5,5
383,383,6,2,5
384,384,5,2,5
385,385,6,2,5
386,386,6,5,5
387,387,2,2,5
388,388,3,5,5
389,389,2,1,1
390,390,3,2,2
391,391,9,9,9
392,392,2,2,5
393,393,6,2,5
394,394,2,1,1
395,395,2,5,5
396,396,2,5,5
397,397,2,2,2
398,398,3,5,5
399,399,3,2,5
400,400,2,2,2
401,401,3,6,6
402,402,5,2,5
403,403,1,1,1
404,404,2,2,2
405,405,2,1,2
406,406,3,5,5
407,407,2,1,1
408,408,2,2,5
409,409,2,2,2
410,410,3,5,5
411,411,2,2,2
412,412,2,5,5
413,413,2,2,5
414,414,2,2,2
415,415,3,2,5
416,416,2,2,5
417,417,2,2,2
418,418,2,2,2
419,419,2,5,5
420,420,2,2,5
421,421,5,2,5
422,422,2,6,6
423,423,2,2,5
424,424,2,2,2
425,425,2,2,2
426,426,2,2,5
427,427,2,2,2
428,428,2,2,5
429,429,2,2,5
430,430,2,2,5
431,431,3,3,5
432,432,3,2,5
433,433,2,1,2
434,434,2,2,5
435,435,2,2,2
436,436,3,2,5
437,437,2,2,2
438,438,5,2,5
439,439,2,2,2
440,440,2,2,2
441,441,2,2,2
442,442,2,2,5
443,443,2,2,2
444,444,2,2,2
445,445,2,2,5
446,446,3,2,5
447,447,2,2,5
448,448,2,2,5
449,449,2,2,5
450,450,2,2,5
451,451,2,2,2
452,452,2,2,2
453,453,2,2,2
454,454,3,2,5
455,455,3,6,6
456,456,2,2,2
457,457,2,1,1
458,458,2,2,5
459,459,2,2,5
460,460,2,2,5
461,461,2,2,2
462,462,3,3,6
463,463,3,6,6
464,464,2,2,5
465,465,3,2,5
466,466,2,2,5
467,467,2,2,2
468,468,3,2,2
469,469,2,2,5
470,470,2,2,5
471,471,2,2,2
472,472,3,2,5
473,473,2,2,2
474,474,3,2,5
475,475,2,2,2
476,476,3,3,6
477,477,3,2,6
478,478,3,2,2
479,479,3,5,5
480,480,1,1,1
481,481,9,2,5
482,482,2,1,1
483,483,6,2,5
484,484,2,2,2
485,485,2,1,1
486,486,1,1,1
487,487,9,6,6
488,488,6,2,5
489,489,1,1,1
490,490,9,5,5
491,491,3,6,5
492,492,3,2,2
493,493,2,1,1
494,494,5,5,5
495,495,1,1,1
496,496,9,6,6
497,497,2,2,2
498,498,3,3,3
499,499,5,2,5
500,500,2,1,1
501,501,9,9,1
502,502,9,9,1
503,503,9,9,2
504,504,5,1,5
505,505,2,2,2
506,506,9,9,3
507,507,5,5,2
508,508,9,9,3
509,509,9,9,2
510,510,9,9,2
511,511,9,9,2
512,512,9,9,3
513,513,5,5,5
514,514,5,5,5
515,515,9,9,2
516,516,9,9,2
517,517,9,9,9
518,518,9,9,6
519,519,9,9,9
520,520,9,9,6
521,521,9,9,6
522,522,9,9,6
523,523,9,9,6
524,524,9,9,6
525,525,9,9,9
526,526,9,9,9
527,527,9,9,3
528,528,9,9,3
529,529,9,9,9
530,530,9,9,9
531,531,9,9,6
532,532,9,9,3
533,533,9,9,6
534,534,9,9,6
535,535,9,9,5
536,536,9,9,5
537,537,9,9,9
538,538,9,9,9
539,539,9,9,2
540,540,9,5,1
541,541,9,9,6
542,542,5,1,1
543,543,9,9,9
544,544,9,9,2
545,545,1,1,1
546,546,9,9,3
547,547,9,9,1
548,548,5,5,1
549,549,9,9,9
550,550,9,9,9
551,551,3,3,3
552,552,9,9,9
553,553,9,9,9
554,554,9,9,1
555,555,9,9,9
556,556,5,5,1
557,557,3,3,3
558,558,3,3,2
559,559,6,3,2
560,560,5,5,5
561,561,9,3,5
562,562,6,6,5
563,563,6,2,2
564,564,6,3,5
565,565,6,5,5
566,566,5,5,5
567,567,6,6,5
568,568,1,1,1
569,569,6,3,2
570,570,3,2,2
571,571,6,6,2
572,572,9,3,2
