a_code,Period,POP_NEW,BPC_NEW
ALA,00-15,0.966603103,0.923447745
AND,00-15,0.737314149,0.463109024
ARM,00-15,-0.273763631,0.965807195
ATG,00-15,0.993558994,-0.599361442
BES,00-15,1,-0.99847073
BHR,00-15,1,-1
BHS,00-15,0.996712731,-0.976129593
BLZ,00-15,1,-1
BMU,00-15,-0.602302452,0.855581838
BRB,00-15,0.851981054,-0.635231007
COM,00-15,1,1
CPV,00-15,0.76047503,-0.339154842
CYM,00-15,0.989312066,-0.907997417
CYP,00-15,1,-1
DMA,00-15,0.793843532,-0.544757073
ESH,00-15,1,-1
FSM,00-15,-0.434631969,1
GGY,00-15,0.995815451,1
GRD,00-15,0.738795654,0.998255494
GRL,00-15,-0.915303479,1
GUM,00-15,0.833599309,0.146512895
HKG,00-15,0.892357028,-0.601913054
IRL,00-15,1,0.055791633
ISR,00-15,1,-1
JAM,00-15,0.967628238,0.505051684
JEY,00-15,1,-0.554858879
KNA,00-15,1,-0.936837935
KWT,00-15,1,-1
LBY,00-15,1,-0.872407277
LCA,00-15,0.97689174,-0.937989461
LIE,00-15,0.999174441,0.533811037
LSO,00-15,0.991282105,-0.583722855
MDA,00-15,-0.563182779,0.823335459
MKD,00-15,0.667375215,0.990964796
MNE,00-15,0.49018715,0.604495325
MNP,00-15,-1,1
MSR,00-15,1,1
MUS,00-15,0.876893085,1
MYT,00-15,1,-0.624290722
NRU,00-15,0.555244625,0.059191292
PLW,00-15,0.240116913,0.607591643
PRI,00-15,-0.448105167,0.981178297
PYF,00-15,1,-0.984294191
QAT,00-15,1,-1
SAU,00-15,1,-0.944468214
SGP,00-15,1,-1
SJM,00-15,0,0
SMR,00-15,0.908439359,-0.638841703
SPM,00-15,-0.236919706,1
SYC,00-15,0.948733791,0.986782707
TCA,00-15,0.993508788,-0.99225146
TKL,00-15,0,0
TKM,00-15,1,-0.902343675
TON,00-15,0.819847366,-0.640771288
TTO,00-15,0.720456566,0.508521226
TUV,00-15,0.320430302,-0.08888872
VCT,00-15,0.66815631,-0.260567449
VGB,00-15,0.995114134,-0.985895005
XAD,00-15,1,-1
XNC,00-15,1,-1
COD,00-15,0.988736889,-0.901557658
AFG,00-15,0.999464303,-0.401937396
AGO,00-15,0.698050804,0.319125353
ALB,00-15,-0.293730999,0.781011826
ARE,00-15,1,-0.999820692
ARG,00-15,0.995101413,-0.814357096
ASM,00-15,-0.308498072,0.991726667
AUS,00-15,1,-0.926495462
AUT,00-15,0.844547905,0.801410088
AZE,00-15,0.985197821,-0.551208745
BDI,00-15,0.998778542,-0.899259711
BEN,00-15,0.994406703,-0.963285545
BGR,00-15,-0.920393573,0.988183756
BLR,00-15,-0.725050592,0.954131602
BOL,00-15,0.995491451,-0.884603914
BRA,00-15,0.972228247,-0.632397217
ATF,00-15,0,0
UMI,00-15,0,1
BRN,00-15,0.999975618,-0.951953411
BTN,00-15,0.946124533,0.99998096
BWA,00-15,0.999191543,-0.930733382
CAF,00-15,1,-0.960481318
CAN,00-15,0.941418048,0.445288811
CHE,00-15,0.99592082,-0.290851944
COG,00-15,0.091382992,0.419245912
COL,00-15,0.921716693,-0.65344782
CRI,00-15,0.971732627,-0.675015001
CUB,00-15,0.508997852,0.894340013
CZE,00-15,0.546067392,0.76646558
DEU,00-15,-0.509105514,0.95992967
DJI,00-15,1,0.507738441
DNK,00-15,0.709942909,0.885926819
DOM,00-15,0.922884305,-0.275453853
DZA,00-15,0.942289143,-0.574943127
ECU,00-15,0.999897505,-0.904751806
EGY,00-15,0.98531218,-0.87722927
ERI,00-15,0.997055095,0.273466234
EST,00-15,-0.109897456,0.499056047
FJI,00-15,0.984403957,1
FRO,00-15,0,0
GAB,00-15,1,-0.965068613
GEO,00-15,-0.896059416,0.955182788
GHA,00-15,0.975171808,-0.733164977
GLP,00-15,0.739232431,-0.431052553
GMB,00-15,0.995563427,-0.994144381
GNB,00-15,1,-0.904620875
GNQ,00-15,1,-1
GTM,00-15,0.998898098,-0.545730085
GUF,00-15,1,-0.998092898
GUY,00-15,0.702584596,0.736526732
HND,00-15,0.998460329,-0.790571266
HRV,00-15,-0.538074687,0.907270378
HUN,00-15,-0.437740961,0.872101509
IMN,00-15,0.889280853,0.176618001
IRN,00-15,0.885365732,-0.421069561
IRQ,00-15,1,-0.687505501
ISL,00-15,0.978302834,-0.858317928
JOR,00-15,1,-0.996479838
JPN,00-15,-0.36973038,0.885282501
KAZ,00-15,0.61556905,-0.022117359
KEN,00-15,1,-0.721223273
KGZ,00-15,0.965934102,0.420267897
KHM,00-15,0.968722887,-0.270764025
KOR,00-15,0.640914192,0.589655701
LAO,00-15,0.936818727,0.774092863
LBN,00-15,0.954195652,-0.862689463
LBR,00-15,1,-0.88907508
LKA,00-15,0.717428494,0.657257652
LTU,00-15,-0.938897734,0.971563256
LUX,00-15,1,-1
LVA,00-15,-1,1
MAC,00-15,1,-0.90281423
MEX,00-15,0.973030182,0.349272345
MLT,00-15,0.800995957,-0.630205327
MNG,00-15,0.916925296,-0.760244969
MOZ,00-15,0.99984193,-0.738654822
MRT,00-15,0.99051196,-0.947469652
MTQ,00-15,0.495976973,0.188505308
MWI,00-15,0.998523582,-0.974101038
MYS,00-15,0.982462643,-0.696844005
NAM,00-15,0.987339521,-0.8424377
NCL,00-15,0.945682794,1
NGA,00-15,0.999995189,-0.852718204
NIC,00-15,0.970728185,0.069260682
NLD,00-15,0.883835753,0.765814066
NOR,00-15,0.961030609,0.678447037
NZL,00-15,0.990628358,-0.674534205
OMN,00-15,0.999970926,-0.998640204
PAN,00-15,0.999565353,-0.710523496
PER,00-15,0.976593964,-0.642501814
PHL,00-15,0.95496203,-0.818689278
PNG,00-15,0.98542437,-0.773909579
POL,00-15,0.283597244,0.974023881
PRK,00-15,0.979393619,0.203376395
PRT,00-15,0.047422132,0.874321299
PRY,00-15,0.983949773,-0.672962244
PSE,00-15,1,-1
REU,00-15,0.983215377,0.938421548
ROU,00-15,-0.925546079,0.972622761
RUS,00-15,-0.43867422,0.957091606
SHN,00-15,-0.733283226,1
SLB,00-15,1,0.988591887
SLV,00-15,0.43391223,0.822007546
SOM,00-15,1,-0.990020562
SRB,00-15,-0.919185798,0.996290319
STP,00-15,1,0.13052905
SUR,00-15,0.623035104,-0.28623884
SVK,00-15,0.252226164,0.922176193
SVN,00-15,0.610801407,0.70602545
SWE,00-15,0.800660467,0.706311766
SWZ,00-15,0.997889169,0.678261697
SYR,00-15,1,0.613525575
TGO,00-15,1,-0.984160981
THA,00-15,0.46473086,0.58945468
TJK,00-15,0.999881978,-0.992181169
TLS,00-15,0.99794958,-0.95209433
TUN,00-15,0.960182049,-0.703779228
TUR,00-15,0.788456354,-0.338378993
TWN,00-15,0.618351572,0.335637406
UKR,00-15,-0.916727063,0.991401203
URY,00-15,0.817233451,0.431883079
USA,00-15,0.906407287,0.590770656
UZB,00-15,0.994649662,-0.978104809
VEN,00-15,0.98471623,-0.946733031
VIR,00-15,-0.559442294,0.988451862
VNM,00-15,0.880627483,0.180932186
VUT,00-15,1,0.949073939
WLF,00-15,-0.958464905,1
WSM,00-15,0.548155759,1
XKO,00-15,0.965925974,-0.331388934
YEM,00-15,0.999932588,-0.453237083
ZMB,00-15,0.999770001,-0.965832939
ZWE,00-15,1,-0.878580531
BEL,00-15,1,0.602220162
